faculty,partner_uni,partner_uni_module_1,partner_uni_module_1_title,partner_uni_module_1_credits,partner_uni_module_2,partner_uni_module_2_title,partner_uni_module_2_credits,nus_module_1,nus_module_1_title,nus_module_1_credits,nus_module_2,nus_module_2_title,nus_module_2_credits
NUS Business School,Tsinghua University,2834660,SERVICES MARKETING,3,,,,MKT3412,Services Marketing,4,,,
NUS Business School,Tsinghua University,30510053,ECONOMETRICS,3,,,,FIN4111,Research Methods in Finance,4,,,
NUS Business School,Tsinghua University,40510323,INTERMEDIATE FINANCIAL ACCOUNTING,3,,,,ACC2002,Managerial Accounting,4,,,
NUS Business School,Tsinghua University,2832650,MARKETING STRATEGY,3,,,,MKT4411,Marketing Strategy,4,,,
NUS Business School,Tsinghua University,30510893,FINANCIAL STATEMENT ANALYSIS,3,,,,FIN3113,Financial Statement Analysis,4,,,
NUS Business School,Tsinghua University,40510223,PRODUCTION AND OPERATION MANAGEMENT,3,,,,DSC2006,Operations Management,4,,,
NUS Business School,Tsinghua University,2833650,MARKETING RESEARCH,3,,,,MKT2413,Marketing Research,4,,,
NUS Business School,Tsinghua University,30510973,ECONOMETRICS 1,3,,,,BSP4513,Econometrics: Theory and Pract,4,,,
NUS Business School,Tsinghua University,30510732,GENERAL MANAGEMENT,2,,,,MNO1001,Management And Organisation,4,,,
NUS Business School,Tsinghua University,30510923,PRINCIPLES OF FINANCE,3,,,,FIN2004,Finance,4,,,
NUS Business School,Tsinghua University,30510863,DEVELOPMENTAL ECONOMICS,3,,,,FIN3120X,Topic in Finance,4,,,
NUS Business School,Tsinghua University,2834410,FINANCIAL STATEMENT ANALYSIS,3,,,,FIN3113,Financial Statement Analysis,4,,,
NUS Business School,Tsinghua University,40511202,INTERNATIONAL BUSINESS,3,,,,BSP3001,Strategic Management,4,,,
NUS Business School,Tsinghua University,30510073,PUBLIC FINANCE,3,,,,FIN3120X,Topic in Finance,4,,,
NUS Business School,Tsinghua University,90510163,MARKETING THEORY AND RESEARCH METHODS,3,,,,MKT4412,Marketing Theory: Cultivating,4,,,
NUS Business School,Tsinghua University,70518032,INTERNATIONAL MONETARY SYSTEM AND EXCHANGE RATE THEORY,3,,,,FIN3120X,Topic in Finance,4,,,
NUS Business School,Tsinghua University,40510633,"PRINCIPLES OF INSURANCE: LIFE, HEALTH AND ANNUITIES",3,,,,FIN3120Z,Topic in Finance,4,,,
NUS Business School,Tsinghua University,30510883,ECONOMIC GROWTH,3,,,,FIN3120Y,Topic in Finance,4,,,
NUS Business School,Tsinghua University,30510202,MANAGEMENT INFORMATION SYSTEMS,2,,,,DSC3213,Strategic Information Systems,4,,,
NUS Business School,Tsinghua University,10511342,THE BUSINESS CYCLE ANALYSIS,3,,,,FIN3120Z,Topic in Finance,4,,,
NUS Business School,Tsinghua University,80511842,NEW FINANCIAL MARKETS/IN EMERGING COUNTRIES,2,,,,FIN3120X,Topic in Finance,4,,,
NUS Business School,Tsinghua University,70510013,ORGANISATIONAL BEHAVIOUR,3,,,,MNO3301,Organisational Behaviour,4,,,
NUS Business School,Tsinghua University,30511013,INTERNATIONAL FINANCE,3,,,,FIN3120Z,Topic in Finance,4,,,
NUS Business School,Tsinghua University,80511503,MARKETING MANAGEMENT,3,,,,MKT2401,Asian Markets & Marketing Mgmt,4,,,
NUS Business School,Tsinghua University,30510983,RISK MANAGEMENT AND INSURANCE,3,,,,FIN3119,Risk and Insurance,4,,,
NUS Business School,Tsinghua University,40510652,ORGANISATIONAL DESIGN AND HUMAN RESOURCE MANAGEMENT ECONOMICS,2,,,,MNO2302,Human Resource Management,4,,,
NUS Business School,Tsinghua University,510392,ENTREPRENEURSHIP,2,,,,MNO2009,Entrepreneurship,4,,,
NUS Business School,Tsinghua University,90510133,ECONOMETRICS,3,,,,BSP4513,Econometrics: Theory and Pract,4,,,
NUS Business School,Tsinghua University,20510052,STOCHASTIC PROCESS,2,,,,DSC3215,Stochastic Models In Mgmt,4,,,
NUS Business School,Tsinghua University,40510943,THEORY OF INDUSTRIAL ORGANISATION,3,,,,MNO3313X,TOPICS IN MGT & ORG:SEL TOPICS,4,,,
NUS Business School,Tsinghua University,40510882,FINANCIAL DATA ANALYSIS,2,,,,FIN3120Y,Topic in Finance,4,,,
NUS Business School,Tsinghua University,40510173,INTERMEDIATE FINANCIAL ACCOUNTING (1),3,,,,ACC2002,Managerial Accounting,4,,,
NUS Business School,Tsinghua University,510353,GAME THEORY,3,,,,MKT3513,Game Theory & Strategic Anlys,4,,,
NUS Business School,Tsinghua University,40510763,INTERNATIONAL ECONOMICS,3,,,,FIN3120X,Topic in Finance,4,,,
NUS Business School,Tsinghua University,40510193,MANAGEMENT SYSTEMS SIMULATION,3,,,,DSC3222X,Tp In Ops&Suply Ch Mgt(TIOSCM),4,,,
NUS Business School,Tsinghua University,40511192,REAL ESTATE FINANCE,2,,,,FIN3120Y,Topic in Finance,4,,,
NUS Business School,Tsinghua University,40510093,TOPICS ON INTERNATIONAL ACCOUNTING,3,,,,FIN3120X,Topic in Finance,4,,,
NUS Business School,Tsinghua University,30510812,MARKETING MANAGEMENT,2,,,,MKT2401,Asian Markets & Marketing Mgmt,4,,,
NUS Business School,Tsinghua University,40510992,ENTERPRISE RESOURCE PLANNING,2,,,,DSC3222X,Tp In Ops&Suply Ch Mgt(TIOSCM),4,,,
NUS Business School,Tsinghua University,40510333,INTERMEDIATE FINANCIAL ACCOUNTING (II),3,,,,ACC2002,Managerial Accounting,4,,,
NUS Business School,Tsinghua University,40511423,INVESTMENT,3,,,,FIN3102,Investmt Anlys & Portfolio Mgt,4,,,
NUS Business School,Tsinghua University,40160522,INTERNATIONAL LOGISTICS,2,,,,DSC3222Y,Tp In Ops&Suply Ch Mgt(TIOSCM),4,,,
NUS Business School,Tsinghua University,510133,PRINCIPLES OF ACCOUNTING,3,,,,ACC1002,Financial Accounting,4,,,
NUS Business School,Tsinghua University,30510123,PRINCIPLE OF ACCOUNTING,3,,,,ACC1002,Financial Accounting,4,,,
NUS Business School,Tsinghua University,40511242,Case Analysis For Corporate Finance,2,,,,FIN3101,Corporate Finance,4,,,
NUS Business School,Tsinghua University,40511093,Financial Management,3,,,,FIN3101,Corporate Finance,4,,,
NUS Business School,Tsinghua University,30510532,Introduction to Commerical Science,2,,,,BSP3001,Strategic Management,4,,,
NUS Business School,Tsinghua University,FIN3118,Risk Management,1,,,,FIN3118,Financial Risk Management,4,,,
NUS Business School,Xi'an Jiaotong University,82127,INDUSTRIAL MARKETING,2,,,,MKT3416,Business-to-Business Marketing,4,,,
NUS Business School,Xi'an Jiaotong University,82010,MARKETING MANAGEMENT,2,,,,MKT2401,Asian Markets & Marketing Mgmt,4,,,
NUS Business School,Xiamen University,200087,ECONOMETRICS,3,,,,BSP4513,Econometrics: Theory and Pract,4,,,
NUS Business School,Zhejiang University,20124310,LOGISTICS OPERATION MANAGEMENT,2,,,,DSC3222,Tp In Ops&Suply Ch Mgt(TIOSCM),4,,,
NUS Business School,Zhejiang University,20120490,STRATEGIC MANAGEMENT IN BUSINESS,3,,,,BSP3001,Strategic Management,4,,,
NUS Business School,Zhejiang University,20120661,SUPPLY CHAIN MANAGEMENT,2,,,,DSC3201,Supply Chain Management,4,,,
NUS Business School,Zhejiang University,1121220,INTERNATIONAL FINANCIAL MANAGEMENT,3,,,,FIN3120Z,Topic in Finance,4,,,
NUS Business School,Zhejiang University,24121770,CONTEMPORARY CHINESE ECONOMY,2,,,,FIN3120X,Topic in Finance,4,,,
NUS Business School,Zhejiang University,1121220,BEHAVIORAL FINANCE,3,,,,FIN3120,Topics in Finance (TIF),4,,,
NUS Business School,Zhejiang University,20124440,STRATEGIC MANAGEMENT,2,,,,BSP3001,Strategic Management,4,,,
NUS Business School,Zhejiang University,18197460,CONTEMPORARY CHINESE ECONOMY,2,,,,FIN3120X,Topic in Finance,4,,,
NUS Business School,Zhejiang University,20190130,SUPPLY CHAIN MANAGEMENT,2,,,,DSC3201,Supply Chain Management,4,,,
NUS Business School,Zhejiang University,20123100,EMPLOYEE RELATIONSHIPS AND MANAGEMENT,2,,,,MNO3313Z,TOPICS IN M & O: MANAGEMENT 3,4,,,
NUS Business School,Zhejiang University,20120470,ENTERPRISE ETHICS,2,,,,MNO2007,Leadership and Ethics,4,,,
NUS Business School,Zhejiang University,1120010,INSURANCE,3,,,,FIN3119,Risk and Insurance,4,,,
NUS Business School,Zhejiang University,40510223,OPERATIONS MANAGEMENT,3,,,,DSC2006,Operations Management,4,,,
NUS Business School,Zhejiang University,1121070,INTERNATIONAL FINANCIAL MANAGEMENT,3,,,,FIN3120X,Topic in Finance,4,,,
NUS Business School,Zhejiang University,20120680,CONSUMER BEHAVIOR,2,,,,MKT3402,Consumer Behaviour,4,,,
NUS Business School,Zhejiang University,1120260,INTERNATIONAL FINANCE & INVESTMENT,3,,,,FIN3115,International Financial Mgmt,4,,,
NUS Business School,Zhejiang University,20190330,CORPORATE CULTURE,2,,,,MNO3313Y,TOPICS IN M & O: SEL TOPICS 3,4,,,
NUS Business School,Zhejiang University,1196430,QUANTITATIVE FINANCE,3,,,,FIN3120Z,Topic in Finance,4,,,
NUS Business School,Zhejiang University,192340,THEORY AND IMPLEMENTATION OF INVESTMENT BANKS,3,,,,FIN3120Y,Topic in Finance,4,,,
NUS Business School,Zhejiang University,20190290,CROSS-CULTURAL MANAGEMENT,2,,,,MNO3313X,TOPICS IN MGT & ORG:SEL TOPICS,4,,,
NUS Business School,Zhejiang University,1196440,OPTIONS & FUTURES,1.5,,,,FIN3116,Options and Futures,4,,,
NUS Business School,Zhejiang University,1121090,INTERNATIONAL TRADE,3,,,,FIN3120Y,Topic in Finance,4,,,
NUS Business School,Zhejiang University,20190100,RISK MANAGEMENT AND INSURANCE,2,,,,FIN3119,Risk and Insurance,4,,,
NUS Business School,Zhejiang University,20123110,EMPLOYEE LEARNING AND DEVELOPMENT,2,,,,MNO3321,Training and Development,4,,,
NUS Business School,Zhejiang University,201A0020,FUNDAMENTALS OF MANAGEMENT,3,,,,MNO1001,Management And Organisation,4,,,
NUS Business School,Zhejiang University,20120780,OPERATIONS MANAGEMENT,3,,,,DSC2006,Operations Management,4,,,
NUS Business School,University of Zagreb,46398,BUSINESS ETHICS,5,,,,MNO3314,Social & Ethical Issues In Mgt,4,,,
NUS Business School,University of Zagreb,35460,OPERATIONAL RESEARCH,6,,,,DSC3222,Tp In Ops&Suply Ch Mgt(TIOSCM),4,,,
NUS Business School,University of Zagreb,71498,GAME THEORY,6,,,,MKT3513,Game Theory & Strategic Anlys,4,,,
NUS Business School,University of Zagreb,83098,STRATEGIC MANAGEMENT,6,,,,BSP3001,Strategic Management,4,,,
NUS Business School,University of Zagreb,60879,MARKETING,6,,,,MKT1003,Principles of Marketing,4,,,
NUS Business School,University of Zagreb,59979,FINANCIAL INSTITUTIONS AND MARKETS,6,,,,FIN3103,Financial Markets,4,,,
NUS Business School,University of Zagreb,83100,INVESTMENT ANALYSIS,6,,,,FIN3102,Investmt Anlys & Portfolio Mgt,4,,,
NUS Business School,University of Zagreb,83099,ANALYSIS OF FINANCIAL STATEMENTS,6,,,,FIN3113,Financial Statement Analysis,4,,,
NUS Business School,University of Zagreb,60881,FINANCIAL MODELING,6,,,,FIN3130,Financial Modelling,4,,,
NUS Business School,University of Zagreb,45730,COMMERCIAL LAW,6,,,,BSP1004,Legal Environment Of Business,4,,,
NUS Business School,University of Zagreb,83907,TOURISM PRINCIPLES,6,,,,MKT3422X,TOPICS IN MKTG:SEL TOPICS 1,4,,,
NUS Business School,University of Zagreb,21660,BUSINESS ETHICS,5,,,,MNO3314,Social & Ethical Issues In Mgt,4,,,
NUS Business School,University of Zagreb,59981,INTERNATIONAL ECONOMICS,6,,,,FIN3120Z,Topic in Finance,4,,,
NUS Business School,Aarhus School of Business,BSS460141U031,Management Accounting,10,,,,ACC2002,Managerial Accounting,4,,,
NUS Business School,Aarhus School of Business,ZXX460152U065,Managing Marketing Channels and Relationships,10,,,,MKT3422Z,Topics in Marketing,4,,,
NUS Business School,Aarhus School of Business,ZXX460152U013,Marketing Communication,5,,,,MKT3422Z,Topics in Marketing,4,,,
NUS Business School,Aarhus School of Business,4120910073,ACCOUNTING,5,,,,ACC2002,Managerial Accounting,4,,,
NUS Business School,Aarhus School of Business,4620710079,INTERNATIONAL LABOUR MARKETS,5,,,,MNO3316,Managing An Int'l Workforce,4,,,
NUS Business School,Aarhus School of Business,BSS410151U019,Communication in a Global Perspective,10,,,,MNO3313X,TOPICS IN MGT & ORG:SEL TOPICS,4,,,
NUS Business School,Aarhus School of Business,460151U028,INDUSTRIAL MARKETING (B2B MARKETING),10,,,,MKT3416,Business-to-Business Marketing,4,,,
NUS Business School,Aarhus School of Business,4620000000,INTERNATIONAL BUSINESS FINANCE,5,,,,FIN3120,Topics in Finance (TIF),4,,,
NUS Business School,Aarhus School of Business,4120000000,INTEGRATED MARKETING COMMUNICATION,10,,,,MKT3414,Marketing Channels,4,,,
NUS Business School,Aarhus School of Business,4620000000,STRATEGY AND MANAGEMENT ACCOUNTING,5,,,,ACC2002,Managerial Accounting,4,,,
NUS Business School,Aarhus School of Business,4620000000,OPERATIONS AND SUPPLY CHAIN MANAGEMENT,5,,,,DSC2006,Operations Management,4,,,
NUS Business School,Aarhus School of Business,4620000000,MARKETING MANAGEMENT,5,,,,MKT2401,Asian Markets & Marketing Mgmt,4,,,
NUS Business School,Aarhus School of Business,4620000000,MANAGEMENT OF CHANGE,5,,,,MNO3313F,TIMHC:Managing High Perf Teams,4,,,
NUS Business School,Aarhus School of Business,4620000000,ENTREPRENEURSHIP,5,,,,MNO2009,Entrepreneurship,4,,,
NUS Business School,Aarhus School of Business,4630000000,ASPECTS OF DENMARK,5,,,,MNO3313X,TOPICS IN MGT & ORG:SEL TOPICS,4,,,
NUS Business School,Aarhus School of Business,4620000000,FINANCIAL ACCOUNTING,5,,,,FIN3113,Financial Statement Analysis,4,,,
NUS Business School,Aarhus School of Business,4120000000,HUMAN RESOURCE MANAGEMENT,5,,,,MNO2302,Human Resource Management,4,,,
NUS Business School,Aarhus School of Business,4620810028,"TOTAL QUALITY MANAGEMENT, LEAN AND SIX SIGMA",5,,,,DSC3222,Tp In Ops&Suply Ch Mgt(TIOSCM),4,,,
NUS Business School,Aarhus School of Business,4620000000,INTERNATIONAL MANAGEMENT,10,,,,MNO3313Y,TOPICS IN M & O: SEL TOPICS 3,4,,,
NUS Business School,Aarhus School of Business,4620000000,ORGANIZATIONAL THEORY,10,,,,MNO3301,Organisational Behaviour,4,,,
NUS Business School,Aarhus School of Business,4620000000,INTERNATIONAL ECONOMICS,5,,,,BSP2001,Macro & Int'l Economics,4,,,
NUS Business School,Aarhus School of Business,4120000000,CULTURAL THEORY & ANALYSIS,5,,,,MNO3311,Managing Diversity In S.E.Asia,4,,,
NUS Business School,Aarhus School of Business,4620000000,INTERNATIONAL MARKETING,5,,,,MKT2412,Global Marketing,4,,,
NUS Business School,Aarhus School of Business,4620000000,INTERNATIONAL CORPORATE FINANCE,5,,,,FIN3115,International Financial Mgmt,4,,,
NUS Business School,Aarhus School of Business,4120000000,ORGANISATIONAL BEHAVIOUR,5,,,,MNO3301,Organisational Behaviour,4,,,
NUS Business School,Aarhus School of Business,4620000000,ONLINE MARKETING,5,,,,MKT3415,Marketing in a Digital Age,4,,,
NUS Business School,Aarhus School of Business,4620000000,CORPORATE FINANCE II,5,,,,FIN3102,Investmt Anlys & Portfolio Mgt,4,,,
NUS Business School,Aarhus School of Business,4620000000,STRATEGIC MANAGEMENT AND ORGANIZATION,5,,,,BSP3001,Strategic Management,4,,,
NUS Business School,Aarhus School of Business,4620000000,INTERCULTURAL COMMUNICATION,5,,,,MNO3313,Topics in Leadership and Human,4,,,
NUS Business School,Aarhus School of Business,4630000000,THE ECONOMICS OF HUMAN RESOURCES,5,,,,MNO2302,Human Resource Management,4,,,
NUS Business School,Aarhus School of Business,4620000000,CORPORATE FINANCE I,5,,,,FIN3101,Corporate Finance,4,,,
NUS Business School,Aarhus School of Business,460131U011,STRATEGY,5,,,,BSP3001,Strategic Management,4,,,
NUS Business School,Aarhus School of Business,460121U029,SERVICE MARKETING,5,,,,MKT3412,Services Marketing,4,,,
NUS Business School,Aarhus School of Business,4.60E+15,FINANCIAL ACCOUNTING,10,,,,FIN3113,Financial Statement Analysis,4,,,
NUS Business School,Aarhus School of Business,4120000000,CROSS CULTURAL NEGOTIATION,10,,,,MNO3313F,TIMHC:Managing High Perf Teams,4,,,
NUS Business School,Aarhus School of Business,462000000,INNOVATION AND ENTREPRENEURSHIP,10,,,,MKT3418,Product And Brand Management,4,,,
NUS Business School,Aarhus School of Business,4120000000,PUBLIC RELATIONS,10,,,,MNO3313X,TOPICS IN MGT & ORG:SEL TOPICS,4,,,
NUS Business School,Aarhus School of Business,4120000000,CROSS CULTURAL NEGOTIATION,10,,,,MNO3312,Organisational Communication,4,,,
NUS Business School,Aarhus School of Business,460122U070,GAME THEORY,5,,,,MKT3513,Game Theory & Strategic Anlys,4,,,
NUS Business School,Aarhus School of Business,412000000,INTEGRATED MARKETING COMMUNICATION,10,,,,MKT3420,Advertising & Promotion Manage,4,,,
NUS Business School,Aarhus School of Business,4620000000,SUSTAINABLE ECONOMICS,5,,,,FIN3120Y,Topic in Finance,4,,,
NUS Business School,Aarhus School of Business,4120000000,SOCIAL NETWORKING MARKETING STRATEGIES,10,,,,MKT3422Z,Topics in Marketing,4,,,
NUS Business School,Aarhus School of Business,4120000000,GLOBAL MARKETING FOR EUROPEAN BUSINESS,5,,,,MKT3422X,TOPICS IN MKTG:SEL TOPICS 1,4,,,
NUS Business School,Aarhus School of Business,462000000,ORGANIZATIONAL THEORY,10,,,,MNO3303,Organisational Effectiveness,4,,,
NUS Business School,Aarhus School of Business,462000000,FINANCE I,5,,,,FIN2004,Finance,4,,,
NUS Business School,Aarhus School of Business,461121U017,MANAGEMENT AND FINANCIAL ACCOUNTING,10,,,,ACC2002,Managerial Accounting,4,,,
NUS Business School,Aarhus School of Business,410121U018,ASPECTS OF DENMARK,5,,,,MNO3313Z,TOPICS IN M & O: MANAGEMENT 3,4,,,
NUS Business School,Aarhus School of Business,460132U083,CORPORATE VALUATION,10,,,,FIN3120Z,Topic in Finance,4,,,
NUS Business School,Aarhus School of Business,4620000000,BASIC FINANCIAL ACCOUNTING,5,,,,ACC1002,Financial Accounting,4,,,
NUS Business School,Aarhus School of Business,410141U012,GLOBAL MARKETING FOR EUROPEAN BUSINESS,5,,,,MKT3422Y,TOPICS IN MKTG:SEL TOPICS 2,4,,,
NUS Business School,Aarhus School of Business,410131U010,MARKETING AND CONSUMER BEHAVIOUR,10,,,,MKT3402,Consumer Behaviour,4,,,
NUS Business School,Aarhus School of Business,462000000,MANAGEMENT SCIENCE MODELS,5,,,,DSC1007,Business Analytics - Mod&Dec,4,,,
NUS Business School,Aarhus School of Business,460142U016,MODELLING AND SOLVING DISCRETE OPTIMIZATION PROBLEMS WITHIN LOGISTICS,5,,,,DSC3214,Introduction To Optimisation,4,,,
NUS Business School,Aarhus School of Business,ZXX46015U015,INDUSTRIAL ORGANISATION AND STRATEGY,10,,,,MNO3313X,TOPICS IN MGT & ORG:SEL TOPICS,4,,,
NUS Business School,Aarhus School of Business,ZXX460141E132,BEHAVIORAL FINANCE,5,,,,FIN3103,Financial Markets,4,,,
NUS Business School,Aarhus School of Business,460161U009,BUSINESS INTELLIGENCE,5,,,,DSC3216,Predictive Analytics in BIZ,4,,,
NUS Business School,Aarhus School of Business,ZXX460151U018,Marketing Management,10,,,,MKT2401,Asian Markets & Marketing Mgmt,4,,,
NUS Business School,Aarhus School of Business,BSS460161U081 _,Organisational Design,5,,,,MNO3303,Organisational Effectiveness,4,,,
NUS Business School,Aarhus School of Business,BSS460161U075,International Labour Markets,5,,,,MNO3313Y,TOPICS IN M & O: SEL TOPICS 3,4,,,
NUS Business School,Aarhus School of Business,4620610064,Strategic Management and Organization,5,,,,BSP3001,Strategic Management,4,,,
NUS Business School,Aarhus School of Business,BIZ-DO-ZXY1461,Global Project Financing,10,,,,FIN3120X,Topic in Finance,4,,,
NUS Business School,Aarhus School of Business,BIZ-DO-ZXY1462,Global Financial Crisis,5,,,,FIN3120X,Topic in Finance,4,,,
NUS Business School,Aarhus School of Business,410161U004,Aspects of Denmark,5,,,,MNO3313Z,TOPICS IN M & O: MANAGEMENT 3,4,,,
NUS Business School,Aarhus School of Business,460152U072,International Business Finance,5,,,,FIN3120,Topics in Finance (TIF),4,,,
NUS Business School,Aarhus School of Business,460162U018,Corporate Valuation,10,,,,FIN3120,Topics in Finance (TIF),10,,,
NUS Business School,Aarhus School of Business,BIZ-DO-ZXY1460,Behavioral and Experimental Finance,5,,,,FIN3120X,Topic in Finance,4,,,
NUS Business School,Aarhus School of Business,BIZ-DO-ZXY1463,"Youth, Media and Consumption",5,,,,MKT3422Y,TOPICS IN MKTG:SEL TOPICS 2,4,,,
NUS Business School,Aarhus School of Business,460161U021,Intercultural Communication,5,,,,MNO3313,Topics in Leadership and Human,4,,,
NUS Business School,Aarhus School of Business,461152U061,International Management,10,,,,MNO3313Z,TOPICS IN M & O: MANAGEMENT 3,4,,,
NUS Business School,Aarhus School of Business,460161U009,Business Intelligence,5,,,,MNO3313X,TOPICS IN MGT & ORG:SEL TOPICS,4,,,
NUS Business School,Aarhus School of Business,410161U004,Aspects of Denmark,5,,,,MNO3313,Topics in Leadership and Human,4,,,
NUS Business School,Aarhus School of Business,4621010039,Sustainable Economics,5,,,,FIN3120Y,Topic in Finance,4,,,
NUS Business School,Aarhus School of Business,4621010060,Trade and International Economics,5,,,,FIN3120Y,Topic in Finance,4,,,
NUS Business School,Aarhus School of Business,4120610103,Public Relations,10,,,,MNO3313X,TOPICS IN MGT & ORG:SEL TOPICS,4,,,
NUS Business School,Aarhus School of Business,4620710105,Innovation and Entrepreneurship,10,,,,MNO2009,Entrepreneurship,4,,,
NUS Business School,Aarhus School of Business,460161U053,Seminar in Global Business,5,,,,MNO3313,Topics in Leadership and Human,4,,,
NUS Business School,Aarhus School of Business,4.60E+130,INTERNATIONAL CORPORATE FINANCE,5,,,,FIN3115,International Financial Mgmt,4,,,
NUS Business School,Aarhus School of Business,4121020010,Social Networking Marketing Strategies,10,,,,MKT3422Y,TOPICS IN MKTG:SEL TOPICS 2,4,,,
NUS Business School,Aarhus School of Business,4620710064,Marketing Management,5,,,,MKT2412,Global Marketing,4,,,
NUS Business School,Aarhus School of Business,460151U0,Industrial Organisation and Strategy,10,,,,BSP3001,Strategic Management,4,,,
NUS Business School,Aarhus School of Business,410161U004,Aspects of Denmark,5,,,,MNO3313X,TOPICS IN MGT & ORG:SEL TOPICS,4,,,
NUS Business School,Aarhus School of Business,30813,Internet Rhetoric for Corporate Communication,5,,,,MNO3313X,TOPICS IN MGT & ORG:SEL TOPICS,4,,,
NUS Business School,Aarhus School of Business,410141U012,Global Marketing For European Business,5,,,,MKT3422X,TOPICS IN MKTG:SEL TOPICS 1,4,,,
NUS Business School,Aarhus School of Business,4621010048,Finance II,5,,,,FIN3120,Topics in Finance (TIF),4,,,
NUS Business School,Aarhus School of Business,BIZ-DO-ZXY1459,Corporate Valuation and Value Creation,10,,,,FIN3120Y,Topic in Finance,4,,,
NUS Business School,Aarhus School of Business,4620710006,International Marketing,5,,,,MKT2412,Global Marketing,4,,,
NUS Business School,Aarhus School of Business,460152U023,Entrepreneurship,5,,,,MNO2009,Entrepreneurship,4,,,
NUS Business School,Aarhus School of Business,460161U010,Entrepreneurship & Business Planning,10,,,,MNO2009,Entrepreneurship,4,,,
NUS Business School,Aarhus School of Business,ZXX46015U015,INDUSTRIAL ORGANISATION AND STRATEGY,10,,,,BSP3001,Strategic Management,4,,,
NUS Business School,Aarhus School of Business,ZXX460141E132,BEHAVIORAL FINANCE,5,,,,FIN3120Y,Topic in Finance,4,,,
NUS Business School,Aarhus School of Business,ZXX410161U004,Aspects of denmark,5,,,,MNO3313,Topics in Leadership and Human,4,,,
NUS Business School,Aarhus School of Business,4.60E+15,FINANCIAL ACCOUNTING,10,,,,FIN3120X,Topic in Finance,4,,,
NUS Business School,Aarhus School of Business,30813,Internet Rhetoric for Corporate Communication,5,,,,MNO3313,Topics in Leadership and Human,4,,,
NUS Business School,Aarhus School of Business,420161U012,Strategic Management,5,,,,BSP3001,Strategic Management,4,,,
NUS Business School,Aarhus University,46015U018,Marketing Management,10,,,,MKT1003,Principles of Marketing,4,,,
NUS Business School,Aarhus University,46015U018,Marketing Management,10,,,,MKT1003X,Principles of Marketing,4,,,
NUS Business School,Aarhus University,460152U043,Securities Markets,5,,,,FIN3120X,Topic in Finance,4,,,
NUS Business School,Aarhus University,460152U046,Bank Management,5,,,,FIN3117,Bank Management,4,,,
NUS Business School,Aarhus University,460161U074,Commercial Law,5,,,,BSP1004,Legal Environment Of Business,4,,,
NUS Business School,Aarhus University,460151U032,Finance,5,,,,FIN2004,Finance,4,,,
NUS Business School,Aarhus University,460151U030,Operations Management,10,,,,DSC2006,Operations Management,4,,,
NUS Business School,Copenhagen Business School,BABHAAV70,Topics in International Finance,7.5,,,,FIN3115,International Financial Mgmt,4,,,
NUS Business School,Copenhagen Business School,BABHAAV6021U,Global People Management: Human Resource Management & Leadership,7.5,,,,MNO3313,Topics in Leadership and Human,4,,,
NUS Business School,Copenhagen Business School,BHAAV5005U,Operations Management - Driving Competitiveness Through Operational Effectiveness,7.5,,,,DSC2006,Operations Management,4,,,
NUS Business School,Copenhagen Business School,BHAAV1040U,Business Strategy,7.5,,,,BSP3001,Strategic Management,4,,,
NUS Business School,Copenhagen Business School,BEOKV3005U,Leadership Communication: Theory and Practise,7.5,,,,MNO2007,Leadership and Ethics,4,,,
NUS Business School,Copenhagen Business School,BABHAAV70,Topics in International Finance,7.5,,,,FIN3120,Topics in Finance (TIF),4,,,
NUS Business School,Copenhagen Business School,KAN-CCMVV4102U,Family Firms Challenges,7.5,,,,MNO3313,Topics in Leadership and Human,4,,,
NUS Business School,Copenhagen Business School,BA-BINBO1601U,Risk Management of Multinational Enterprise: Creating Global Strategic Responsiveness,7.5,,,,FIN3120,Topics in Finance (TIF),4,,,
NUS Business School,Copenhagen Business School,BIZ-DO-ZXY1005,INTERNATIONAL ECONOMICS AND COMPETITIVENESS,7.5,,,,BSP4511,Industry & Competitive Analys,4,,,
NUS Business School,Copenhagen Business School,BIZ-DO-ZXY1006,"MANAGEMENT OF CULTURE, LEISURE AND SPORT",7.5,,,,MNO3313Z,TOPICS IN M & O: MANAGEMENT 3,4,,,
NUS Business School,Copenhagen Business School,BIZ-DO-ZXY1008,ORGANIZATIONAL BEHAVIOR & CHANGE PROCESSES,7.5,,,,MNO3313Y,TOPICS IN M & O: SEL TOPICS 3,4,,,
NUS Business School,Copenhagen Business School,BIZ-DO-ZXY1013,ORGANIZATIONAL BEHAVIOUR,7.5,,,,MNO3301,Organisational Behaviour,4,,,
NUS Business School,Copenhagen Business School,BIZ-DO-ZXY1000,INVESTMENT ANALYSIS,7.5,,,,FIN3102,Investmt Anlys & Portfolio Mgt,4,,,
NUS Business School,Copenhagen Business School,BIZ-DO-ZXY1001,STRATEGIC INTANGIBLES MANAGEMENT: VALUE CREATION AT THE INDIVIDUAL LEVEL,7.5,,,,MNO3313Y,TOPICS IN M & O: SEL TOPICS 3,4,,,
NUS Business School,Copenhagen Business School,BIZ-DO-ZXY1004,ORGANISING GLOBAL BUSINESS AND MARKETING,7.5,,,,MKT2412,Global Marketing,4,,,
NUS Business School,Copenhagen Business School,BIZ-DO-ZXY1047,BUSINESS STRATEGIES & STAKEHOLDER IMPACT,7.5,,,,MNO3314,Social & Ethical Issues In Mgt,4,,,
